Dye/Sample Peak	Sample File Name	Size	Height	Area	Data Point	
"Y,3"	1_6_183_HpyCH4IV_2005-11-14.fsa	107.12	1379	12439	3427	
"Y,4"	1_6_183_HpyCH4IV_2005-11-14.fsa	142.41	176	1312	3894	
"Y,5"	1_6_183_HpyCH4IV_2005-11-14.fsa	587.07	1733	55244	8990	
"Y,6"	1_6_183_HpyCH4IV_2005-11-14.fsa	591.06	93	309	9029	
"Y,7"	1_6_183_HpyCH4IV_2005-11-14.fsa	591.67	105	640	9035	
"Y,8"	1_6_183_HpyCH4IV_2005-11-14.fsa	592.08	124	577	9039	
"Y,9"	1_6_183_HpyCH4IV_2005-11-14.fsa	592.39	134	1494	9042	
"Y,10"	1_6_183_HpyCH4IV_2005-11-14.fsa	598.35	230	3598	9100	
"Y,11"	1_6_183_HpyCH4IV_2005-11-14.fsa	623.59	266	4330	9342	
"B,3"	1_6_185_BsuRI_2005-09-16.fsa	83.41	163	986	3098	
"B,4"	1_6_185_BsuRI_2005-09-16.fsa	130.87	1952	17079	3741	
"B,5"	1_6_185_BsuRI_2005-09-16.fsa	132.65	1868	16733	3765	
"B,6"	1_6_185_BsuRI_2005-09-16.fsa	479.36	3708	51319	7977	
"B,2"	1_6_185_HpyCH4IV_2005-11-28.fsa	391.93	4128	60311	7049	
"B,3"	1_6_185_HpyCH4IV_2005-11-28.fsa	589.37	625	13805	9161	
"B,4"	1_6_185_HpyCH4IV_2005-11-28.fsa	597.05	769	16912	9237	
"Y,2"	1_6_185_BsuRI_2005-09-16.fsa	85.12	1859	15732	3122	
"Y,3"	1_6_185_BsuRI_2005-09-16.fsa	89.47	113	737	3183	
"Y,4"	1_6_185_BsuRI_2005-09-16.fsa	124.85	977	7954	3660	
"Y,5"	1_6_185_BsuRI_2005-09-16.fsa	461.83	709	8305	7791	
"G,1"	1_6_185_BsuRI_2005-09-16.fsa	479.72	56	342	7981	
"Y,6"	1_6_185_BsuRI_2005-09-16.fsa	568.74	137	1797	8930	
"Y,2"	1_6_185_HpyCH4IV_2005-11-28.fsa	167.96	1811	17625	4304	
"Y,3"	1_6_185_HpyCH4IV_2005-11-28.fsa	586.25	298	6247	9130	
"Y,4"	1_6_185_HpyCH4IV_2005-11-28.fsa	598.07	380	6885	9247	
"B,2"	1_6_186_BsuRI_2005-11-14.fsa	129.76	1930	16847	3762	
"B,3"	1_6_186_BsuRI_2005-11-14.fsa	131.69	3824	35255	3788	
"B,4"	1_6_186_BsuRI_2005-11-14.fsa	132.51	2009	18612	3799	
"B,5"	1_6_186_BsuRI_2005-11-14.fsa	159.91	212	1432	4160	
"B,6"	1_6_186_BsuRI_2005-11-14.fsa	232.08	54	299	5077	
"B,7"	1_6_186_BsuRI_2005-11-14.fsa	388.82	81	633	6961	
"B,8"	1_6_186_BsuRI_2005-11-14.fsa	479.45	2295	32892	7957	
"B,4"	1_6_186_HpyCH4IV_2005-11-14.fsa	221.33	251	1881	4908	
"B,5"	1_6_186_HpyCH4IV_2005-11-14.fsa	230.27	56	593	5021	
"B,6"	1_6_186_HpyCH4IV_2005-11-14.fsa	231.15	67	497	5032	
"B,7"	1_6_186_HpyCH4IV_2005-11-14.fsa	231.86	54	452	5041	
"B,8"	1_6_186_HpyCH4IV_2005-11-14.fsa	234.64	210	2318	5076	
"B,9"	1_6_186_HpyCH4IV_2005-11-14.fsa	235.43	117	1393	5086	
"B,10"	1_6_186_HpyCH4IV_2005-11-14.fsa	391.97	4224	54288	6962	
"B,11"	1_6_186_HpyCH4IV_2005-11-14.fsa	422.8	97	736	7316	
"B,12"	1_6_186_HpyCH4IV_2005-11-14.fsa	423.07	93	495	7319	
"B,13"	1_6_186_HpyCH4IV_2005-11-14.fsa	563.69	128	1580	8803	
"B,14"	1_6_186_HpyCH4IV_2005-11-14.fsa	563.99	132	2044	8806	
"B,15"	1_6_186_HpyCH4IV_2005-11-14.fsa	567.96	173	2705	8846	
"B,16"	1_6_186_HpyCH4IV_2005-11-14.fsa	590.54	1234	36778	9071	
"B,17"	1_6_186_HpyCH4IV_2005-11-14.fsa	594.29	3222	76065	9108	
"B,18"	1_6_186_HpyCH4IV_2005-11-14.fsa	597.04	1879	37189	9135	
"B,19"	1_6_186_HpyCH4IV_2005-11-14.fsa	616.77	159	2252	9327	
"Y,2"	1_6_186_BsuRI_2005-11-14.fsa	78.08	68	414	3058	
"Y,3"	1_6_186_BsuRI_2005-11-14.fsa	84.94	1242	10562	3155	
"Y,4"	1_6_186_BsuRI_2005-11-14.fsa	124.7	475	4166	3694	
"Y,5"	1_6_186_BsuRI_2005-11-14.fsa	125.96	570	4968	3711	
"Y,6"	1_6_186_BsuRI_2005-11-14.fsa	152.32	1283	11518	4062	
"Y,7"	1_6_186_BsuRI_2005-11-14.fsa	156.19	155	1496	4112	
"Y,8"	1_6_186_BsuRI_2005-11-14.fsa	170.91	82	545	4301	
"Y,9"	1_6_186_BsuRI_2005-11-14.fsa	442.66	623	8611	7572	
"Y,10"	1_6_186_BsuRI_2005-11-14.fsa	568.73	152	2351	8886	
"Y,2"	1_6_186_HpyCH4IV_2005-11-14.fsa	84.57	152	1037	3125	
"Y,3"	1_6_186_HpyCH4IV_2005-11-14.fsa	106.57	106	694	3425	
"Y,4"	1_6_186_HpyCH4IV_2005-11-14.fsa	167.9	2649	24966	4231	
"Y,5"	1_6_186_HpyCH4IV_2005-11-14.fsa	567.66	88	589	8843	
"Y,6"	1_6_186_HpyCH4IV_2005-11-14.fsa	568.65	133	2037	8853	
"Y,7"	1_6_186_HpyCH4IV_2005-11-14.fsa	587.2	497	17032	9038	
"Y,8"	1_6_186_HpyCH4IV_2005-11-14.fsa	589.42	346	2340	9060	
"Y,9"	1_6_186_HpyCH4IV_2005-11-14.fsa	589.93	328	2508	9065	
"Y,10"	1_6_186_HpyCH4IV_2005-11-14.fsa	592.36	1490	30739	9089	
"Y,11"	1_6_186_HpyCH4IV_2005-11-14.fsa	595.62	182	2829	9121	
"Y,12"	1_6_186_HpyCH4IV_2005-11-14.fsa	598.77	900	17612	9152	
"Y,13"	1_6_186_HpyCH4IV_2005-11-14.fsa	616.04	74	833	9320	
"B,6"	1_6_188_BsuRI_2005-09-16.fsa	129.86	1657	13639	3734	
"B,7"	1_6_188_BsuRI_2005-09-16.fsa	160.16	182	1168	4139	
"B,8"	1_6_188_BsuRI_2005-09-16.fsa	230.22	6621	62269	5045	
"B,9"	1_6_188_BsuRI_2005-09-16.fsa	530.19	124	1092	8614	
"B,2"	1_6_188_HpyCH4IV_2005-11-28.fsa	207.8	771	7459	5002	
"B,3"	1_6_188_HpyCH4IV_2005-11-28.fsa	596.69	73	407	9886	
"B,4"	1_6_188_HpyCH4IV_2005-11-28.fsa	596.87	76	558	9888	
"B,5"	1_6_188_HpyCH4IV_2005-11-28.fsa	724.39	181	1606	11248	
"B,6"	1_6_188_HpyCH4IV_2005-11-28.fsa	724.68	189	908	11251	
"B,7"	1_6_188_HpyCH4IV_2005-11-28.fsa	725.17	181	2034	11256	
"Y,2"	1_6_188_BsuRI_2005-09-16.fsa	78.19	52	240	3025	
"Y,3"	1_6_188_BsuRI_2005-09-16.fsa	191.63	3220	27806	4546	
"G,2"	1_6_188_BsuRI_2005-09-16.fsa	230.22	122	994	5045	
"Y,4"	1_6_188_BsuRI_2005-09-16.fsa	433.6	78	670	7543	
"Y,5"	1_6_188_BsuRI_2005-09-16.fsa	442.62	715	8315	7647	
"Y,6"	1_6_188_BsuRI_2005-09-16.fsa	487.41	267	2891	8139	
"Y,2"	1_6_188_HpyCH4IV_2005-11-28.fsa	506.99	198	3418	8847	
"Y,3"	1_6_188_HpyCH4IV_2005-11-28.fsa	597.85	58	316	9899	
"Y,4"	1_6_188_HpyCH4IV_2005-11-28.fsa	598.39	81	915	9905	
"Y,5"	1_6_188_HpyCH4IV_2005-11-28.fsa	719.38	113	1285	11196	
"Y,6"	1_6_188_HpyCH4IV_2005-11-28.fsa	719.76	115	1490	11200	
"B,2"	1_6_189_BsuRI_2005-11-14.fsa	129.81	412	3755	3787	
"B,3"	1_6_189_BsuRI_2005-11-14.fsa	735.5	2301	57528	10507	
"B,3"	1_6_189_HpyCH4IV_2005-11-14.fsa	597.07	516	9776	9189	
"B,4"	1_6_189_HpyCH4IV_2005-11-14.fsa	668.43	52	299	9867	
"B,5"	1_6_189_HpyCH4IV_2005-11-14.fsa	669.1	63	529	9873	
"B,6"	1_6_189_HpyCH4IV_2005-11-14.fsa	735.54	5400	116891	10461	
"Y,2"	1_6_189_BsuRI_2005-11-14.fsa	442.54	130	842	7629	
"Y,3"	1_6_189_BsuRI_2005-11-14.fsa	442.9	138	1527	7633	
"Y,4"	1_6_189_BsuRI_2005-11-14.fsa	730.76	1459	32301	10466	
"Y,2"	1_6_189_HpyCH4IV_2005-11-14.fsa	84.51	57	321	3144	
"Y,3"	1_6_189_HpyCH4IV_2005-11-14.fsa	598.58	343	6191	9204	
"G,1"	1_6_189_HpyCH4IV_2005-11-14.fsa	729.89	57	469	10412	
"Y,4"	1_6_189_HpyCH4IV_2005-11-14.fsa	730.81	2988	59488	10420	
"B,2"	3_15_192_BsuRI_2005-09-16.fsa	110.99	1862	15535	3418	
"B,2"	3_15_192_HpyCH4IV_2005-11-28.fsa	668.31	993	20803	10253	
"Y,2"	3_15_192_BsuRI_2005-09-16.fsa	155.45	684	6258	4002	
"Y,1"	3_15_192_HpyCH4IV_2005-11-28.fsa	53.76	60	371	2727	
"B,2"	3_15_193_BsuRI_2005-11-14.fsa	110.92	7640	71228	3567	
"B,3"	3_15_193_BsuRI_2005-11-14.fsa	125	795	826	3758	
"B,4"	3_15_193_BsuRI_2005-11-14.fsa	569.73	113	1404	9105	
"B,5"	3_15_193_HpyCH4IV_2005-11-14.fsa	119.17	183	1268	3664	
"B,6"	3_15_193_HpyCH4IV_2005-11-14.fsa	607.26	122	1077	9431	
"B,7"	3_15_193_HpyCH4IV_2005-11-14.fsa	607.86	130	1208	9437	
"B,8"	3_15_193_HpyCH4IV_2005-11-14.fsa	667.13	7855	49505	10009	
"B,9"	3_15_193_HpyCH4IV_2005-11-14.fsa	667.78	8245	102971	10015	
"B,10"	3_15_193_HpyCH4IV_2005-11-14.fsa	668.76	7652	85919	10024	
"B,11"	3_15_193_HpyCH4IV_2005-11-14.fsa	731.14	81	1053	10591	
"G,1"	3_15_193_BsuRI_2005-11-14.fsa	110.92	243	244	3567	
"G,2"	3_15_193_BsuRI_2005-11-14.fsa	111.21	135	1061	3571	
"G,3"	3_15_193_BsuRI_2005-11-14.fsa	125	504	577	3758	
"Y,2"	3_15_193_BsuRI_2005-11-14.fsa	125	736	819	3758	
"Y,3"	3_15_193_BsuRI_2005-11-14.fsa	135.03	81	614	3894	
"Y,4"	3_15_193_BsuRI_2005-11-14.fsa	155.33	3507	35794	4165	
"Y,5"	3_15_193_BsuRI_2005-11-14.fsa	611.94	94	1793	9537	
"G,2"	3_15_193_HpyCH4IV_2005-11-14.fsa	53.94	482	1442	2738	
"Y,2"	3_15_193_HpyCH4IV_2005-11-14.fsa	54.01	7441	75619	2739	
"Y,3"	3_15_193_HpyCH4IV_2005-11-14.fsa	77.08	178	1407	3083	
"Y,4"	3_15_193_HpyCH4IV_2005-11-14.fsa	607.86	82	1300	9437	
"G,3"	3_15_193_HpyCH4IV_2005-11-14.fsa	667.35	1872	9862	10011	
"Y,5"	3_15_193_HpyCH4IV_2005-11-14.fsa	667.89	2359	19006	10016	
"G,4"	3_15_193_HpyCH4IV_2005-11-14.fsa	668.54	2172	16104	10022	
"Y,6"	3_15_193_HpyCH4IV_2005-11-14.fsa	727.32	70	1273	10557	
"B,2"	7_35_220_BsuRI_2005-09-16.fsa	104.91	4280	35873	3340	
"B,3"	7_35_220_BsuRI_2005-09-16.fsa	106.04	3714	31391	3355	
"B,4"	7_35_220_BsuRI_2005-09-16.fsa	717.39	58	569	10083	
"B,2"	7_35_220_HpyCH4IV_2006-01-25.fsa	79.39	101	569	3156	
"B,3"	7_35_220_HpyCH4IV_2006-01-25.fsa	109.28	82	469	3583	
"B,4"	7_35_220_HpyCH4IV_2006-01-25.fsa	112.01	1993	18932	3621	
"B,5"	7_35_220_HpyCH4IV_2006-01-25.fsa	663.13	1301	32073	10280	
"G,1"	7_35_220_BsuRI_2005-09-16.fsa	105.13	51	302	3343	
"Y,1"	7_35_220_BsuRI_2005-09-16.fsa	602.69	3011	62722	9050	
"Y,2"	7_35_220_HpyCH4IV_2006-01-25.fsa	521.96	567	11729	8794	
"Y,3"	7_35_220_HpyCH4IV_2006-01-25.fsa	662.31	571	13420	10272	
"B,4"	7_35_221_BsuRI_2005-11-28.fsa	104.83	5260	47633	3429	
"B,5"	7_35_221_BsuRI_2005-11-28.fsa	106.02	4554	43247	3445	
"B,2"	7_35_221_HpyCH4IV_2005-11-28.fsa	716.27	7985	234241	10289	
"Y,1"	7_35_221_BsuRI_2005-11-28.fsa	602.27	3016	64479	9175	
"Y,1"	7_35_221_HpyCH4IV_2005-11-28.fsa	711.8	4941	111687	10250	
"B,3"	7_35_223_BsuRI_2005-09-16.fsa	90.3	354	2371	3166	
"B,4"	7_35_223_BsuRI_2005-09-16.fsa	111.04	1968	16467	3445	
"B,5"	7_35_223_BsuRI_2005-09-16.fsa	131.31	417	3386	3713	
"B,6"	7_35_223_BsuRI_2005-09-16.fsa	132.74	3190	27883	3732	
"B,7"	7_35_223_BsuRI_2005-09-16.fsa	136.97	1653	14048	3788	
"B,8"	7_35_223_BsuRI_2005-09-16.fsa	138.18	51	283	3804	
"B,9"	7_35_223_BsuRI_2005-09-16.fsa	139.54	159	1060	3822	
"B,10"	7_35_223_BsuRI_2005-09-16.fsa	142.34	64	324	3859	
"B,11"	7_35_223_BsuRI_2005-09-16.fsa	147.72	63	284	3930	
"B,12"	7_35_223_BsuRI_2005-09-16.fsa	171.14	901	7400	4231	
"B,6"	7_35_223_HpyCH4IV_2006-01-25.fsa	105.1	600	5207	3507	
"B,7"	7_35_223_HpyCH4IV_2006-01-25.fsa	476.86	53	451	8181	
"B,8"	7_35_223_HpyCH4IV_2006-01-25.fsa	589.62	3690	81403	9399	
"B,9"	7_35_223_HpyCH4IV_2006-01-25.fsa	597.35	1449	31714	9478	
"B,10"	7_35_223_HpyCH4IV_2006-01-25.fsa	613.78	1954	46074	9645	
"B,11"	7_35_223_HpyCH4IV_2006-01-25.fsa	624.86	1343	27030	9756	
"Y,2"	7_35_223_BsuRI_2005-09-16.fsa	78.03	579	4623	2995	
"Y,3"	7_35_223_BsuRI_2005-09-16.fsa	127.18	90	491	3658	
"Y,4"	7_35_223_BsuRI_2005-09-16.fsa	150.7	598	5181	3969	
"Y,5"	7_35_223_BsuRI_2005-09-16.fsa	155.51	1043	8928	4031	
"Y,6"	7_35_223_BsuRI_2005-09-16.fsa	156.53	860	8339	4044	
"Y,7"	7_35_223_BsuRI_2005-09-16.fsa	173.81	100	580	4265	
"Y,8"	7_35_223_BsuRI_2005-09-16.fsa	456.4	333	3590	7672	
"Y,2"	7_35_223_HpyCH4IV_2006-01-25.fsa	78.54	184	1799	3129	
"Y,3"	7_35_223_HpyCH4IV_2006-01-25.fsa	107.26	1203	11285	3537	
"Y,4"	7_35_223_HpyCH4IV_2006-01-25.fsa	586.3	1498	31761	9365	
"Y,5"	7_35_223_HpyCH4IV_2006-01-25.fsa	592.35	88	1489	9427	
"Y,6"	7_35_223_HpyCH4IV_2006-01-25.fsa	598.33	667	13559	9488	
"Y,7"	7_35_223_HpyCH4IV_2006-01-25.fsa	623.36	592	11456	9741	
"B,3"	7_35_224_BsuRI_2005-11-28.fsa	90.34	2279	19707	3236	
"B,4"	7_35_224_BsuRI_2005-11-28.fsa	104.91	1936	16575	3434	
"B,5"	7_35_224_BsuRI_2005-11-28.fsa	132.6	712	5655	3802	
"B,6"	7_35_224_BsuRI_2005-11-28.fsa	136.83	5385	48699	3858	
"B,7"	7_35_224_BsuRI_2005-11-28.fsa	171.01	330	2364	4299	
"B,12"	7_35_224_HpyCH4IV_2005-11-28.fsa	79.31	76	307	3058	
"B,13"	7_35_224_HpyCH4IV_2005-11-28.fsa	109.15	4068	38900	3465	
"B,14"	7_35_224_HpyCH4IV_2005-11-28.fsa	548.83	100	585	8656	
"B,15"	7_35_224_HpyCH4IV_2005-11-28.fsa	549.12	103	593	8659	
"B,16"	7_35_224_HpyCH4IV_2005-11-28.fsa	594.12	6055	132546	9112	
"B,17"	7_35_224_HpyCH4IV_2005-11-28.fsa	603.13	232	3446	9201	
"B,18"	7_35_224_HpyCH4IV_2005-11-28.fsa	716.89	2349	51582	10252	
"B,19"	7_35_224_HpyCH4IV_2005-11-28.fsa	775.07	217	1737	10743	
"B,20"	7_35_224_HpyCH4IV_2005-11-28.fsa	775.57	234	2309	10747	
"Y,2"	7_35_224_BsuRI_2005-11-28.fsa	77.96	123	793	3063	
"Y,3"	7_35_224_BsuRI_2005-11-28.fsa	150.86	91	652	4042	
"Y,4"	7_35_224_BsuRI_2005-11-28.fsa	156.32	2727	25739	4112	
"Y,5"	7_35_224_BsuRI_2005-11-28.fsa	456.22	136	1454	7694	
"Y,6"	7_35_224_BsuRI_2005-11-28.fsa	477.32	810	11469	7912	
"Y,7"	7_35_224_BsuRI_2005-11-28.fsa	602.86	790	13067	9205	
"Y,2"	7_35_224_HpyCH4IV_2005-11-28.fsa	518.53	872	14392	8341	
"Y,3"	7_35_224_HpyCH4IV_2005-11-28.fsa	520.33	491	7123	8360	
"Y,4"	7_35_224_HpyCH4IV_2005-11-28.fsa	554.01	62	635	8709	
"Y,5"	7_35_224_HpyCH4IV_2005-11-28.fsa	592.9	3171	59315	9100	
"Y,6"	7_35_224_HpyCH4IV_2005-11-28.fsa	601.01	172	1850	9180	
"Y,7"	7_35_224_HpyCH4IV_2005-11-28.fsa	601.21	173	1430	9182	
"Y,8"	7_35_224_HpyCH4IV_2005-11-28.fsa	712.01	1155	24082	10209	
"Y,9"	7_35_224_HpyCH4IV_2005-11-28.fsa	772.71	126	1926	10724	
"B,3"	4_18_227_BsuRI_2005-09-16.fsa	131.98	805	6976	3722	
"B,4"	4_18_227_BsuRI_2005-09-16.fsa	132.59	502	3744	3730	
"B,5"	4_18_227_BsuRI_2005-09-16.fsa	138.62	438	3838	3810	
"B,6"	4_18_227_BsuRI_2005-09-16.fsa	141.27	291	2006	3845	
"B,7"	4_18_227_BsuRI_2005-09-16.fsa	168.72	128	751	4200	
"B,8"	4_18_227_BsuRI_2005-09-16.fsa	170.92	195	1202	4228	
"B,9"	4_18_227_BsuRI_2005-09-16.fsa	231.31	144	909	4992	
"B,10"	4_18_227_BsuRI_2005-09-16.fsa	283	142	902	5635	
"B,11"	4_18_227_BsuRI_2005-09-16.fsa	479.44	1774	22090	7887	
"B,12"	4_18_227_BsuRI_2005-09-16.fsa	589.4	235	3841	9027	
"B,13"	4_18_227_BsuRI_2005-09-16.fsa	637.26	80	386	9489	
"B,14"	4_18_227_BsuRI_2005-09-16.fsa	637.69	82	505	9493	
"Y,2"	4_18_227_BsuRI_2005-09-16.fsa	85.06	934	7563	3092	
"Y,3"	4_18_227_BsuRI_2005-09-16.fsa	125.6	276	1904	3637	
"Y,4"	4_18_227_BsuRI_2005-09-16.fsa	147.72	394	3030	3930	
"Y,5"	4_18_227_BsuRI_2005-09-16.fsa	150.78	263	2265	3970	
"Y,6"	4_18_227_BsuRI_2005-09-16.fsa	156.84	267	1941	4048	
"Y,7"	4_18_227_BsuRI_2005-09-16.fsa	198	80	443	4570	
"Y,8"	4_18_227_BsuRI_2005-09-16.fsa	222.29	253	1848	4878	
"Y,9"	4_18_227_BsuRI_2005-09-16.fsa	568.78	99	991	8822	
"B,2"	4_18_228_BsuRI_2005-11-28.fsa	93.46	1712	14217	3316	
"B,3"	4_18_228_BsuRI_2005-11-28.fsa	479.78	368	3941	7911	
"B,2"	4_18_228_HpyCH4IV_2005-11-28.fsa	392.07	675	7905	7008	
"B,3"	4_18_228_HpyCH4IV_2005-11-28.fsa	597.55	3153	53986	9189	
"Y,2"	4_18_228_BsuRI_2005-11-28.fsa	80.22	271	1942	3150	
"Y,3"	4_18_228_BsuRI_2005-11-28.fsa	653.55	705	11282	9638	
"Y,2"	4_18_228_HpyCH4IV_2005-11-28.fsa	152.7	1352	12753	4074	
"Y,3"	4_18_228_HpyCH4IV_2005-11-28.fsa	167.94	396	3431	4270	
"B,2"	4_18_230_BsuRI_2005-09-16.fsa	231.26	1355	11474	5037	
"B,2"	4_18_230_HpyCH4IV_2006-01-25.fsa	556.97	293	6348	9055	
"B,3"	4_18_230_HpyCH4IV_2006-01-25.fsa	613.12	7670	136665	9635	
"B,4"	4_18_230_HpyCH4IV_2006-01-25.fsa	617.11	124	1266	9675	
"Y,1"	4_18_230_BsuRI_2005-09-16.fsa	198.03	650	5022	4609	
"G,1"	4_18_230_HpyCH4IV_2006-01-25.fsa	106.92	70	366	3531	
"Y,2"	4_18_230_HpyCH4IV_2006-01-25.fsa	107.21	4135	37347	3535	
"G,2"	4_18_230_HpyCH4IV_2006-01-25.fsa	613.32	498	2336	9637	
"Y,3"	4_18_230_HpyCH4IV_2006-01-25.fsa	720.83	75	826	10654	
"Y,4"	4_18_230_HpyCH4IV_2006-01-25.fsa	721.38	67	598	10659	
"B,4"	4_18_231_BsuRI_2005-11-28.fsa	230.71	7943	108938	5045	
"B,5"	4_18_231_BsuRI_2005-11-28.fsa	280.4	227	1720	5659	
"B,16"	4_18_231_HpyCH4IV_2005-11-28.fsa	170.25	160	1802	4257	
"B,17"	4_18_231_HpyCH4IV_2005-11-28.fsa	171.12	78	383	4268	
"B,18"	4_18_231_HpyCH4IV_2005-11-28.fsa	172.15	119	1477	4281	
"B,19"	4_18_231_HpyCH4IV_2005-11-28.fsa	173.5	159	2414	4298	
"B,20"	4_18_231_HpyCH4IV_2005-11-28.fsa	177.94	50	171	4354	
"B,21"	4_18_231_HpyCH4IV_2005-11-28.fsa	612.86	8926	218600	9285	
"B,22"	4_18_231_HpyCH4IV_2005-11-28.fsa	728.38	7807	185552	10338	
"Y,2"	4_18_231_BsuRI_2005-11-28.fsa	197.67	5916	57275	4629	
"Y,3"	4_18_231_BsuRI_2005-11-28.fsa	230.95	1239	4007	5048	
"Y,4"	4_18_231_BsuRI_2005-11-28.fsa	438.47	158	1682	7498	
"Y,2"	4_18_231_HpyCH4IV_2005-11-28.fsa	106.89	7730	76376	3430	
"Y,3"	4_18_231_HpyCH4IV_2005-11-28.fsa	612.96	3450	29874	9286	
"Y,4"	4_18_231_HpyCH4IV_2005-11-28.fsa	720.56	4216	85363	10270	
"B,4"	4_18_233_BsuRI_2005-09-16.fsa	736.13	3844	79814	10442	
"B,2"	4_18_233_HpyCH4IV_2005-11-28.fsa	736.18	3065	69540	10826	
"Y,2"	4_18_233_BsuRI_2005-09-16.fsa	731.14	2053	38912	10398	
"Y,1"	4_18_233_HpyCH4IV_2005-11-28.fsa	731.09	1426	31328	10778	
"B,2"	4_18_234_BsuRI_2005-11-28.fsa	479.69	1644	23176	7930	
"B,3"	4_18_234_HpyCH4IV_2005-11-28.fsa	79.12	7964	94086	3091	
"B,4"	4_18_234_HpyCH4IV_2005-11-28.fsa	599.8	3442	70767	9233	
"Y,1"	4_18_234_BsuRI_2005-11-28.fsa	84.92	745	6035	3161	
"Y,2"	4_18_234_HpyCH4IV_2005-11-28.fsa	79.26	110	144	3093	
"Y,3"	4_18_234_HpyCH4IV_2005-11-28.fsa	511.31	4593	77440	8334	
"Y,4"	4_18_234_HpyCH4IV_2005-11-28.fsa	600.71	1534	29600	9242	
"B,2"	1_2_237_BsuRI_2005-09-16.fsa	132.47	427	3354	3728	
"B,3"	1_2_237_BsuRI_2005-09-16.fsa	233.48	8839	120864	5030	
"B,4"	1_2_237_BsuRI_2005-09-16.fsa	284.1	179	1370	5669	
"B,2"	1_2_237_HpyCH4IV_2005-11-28.fsa	625.48	9018	250170	9983	
"Y,2"	1_2_237_BsuRI_2005-09-16.fsa	152.09	103	561	3988	
"G,1"	1_2_237_BsuRI_2005-09-16.fsa	202.64	96	698	4634	
"Y,3"	1_2_237_BsuRI_2005-09-16.fsa	203.03	6980	67639	4639	
"G,2"	1_2_237_BsuRI_2005-09-16.fsa	233.25	2185	6314	5027	
"Y,4"	1_2_237_BsuRI_2005-09-16.fsa	233.48	2966	12957	5030	
"G,3"	1_2_237_BsuRI_2005-09-16.fsa	233.71	2093	9064	5033	
"Y,5"	1_2_237_BsuRI_2005-09-16.fsa	445.94	134	1283	7610	
"Y,1"	1_2_237_HpyCH4IV_2005-11-28.fsa	106.1	2644	24339	3486	
"Y,2"	1_2_237_HpyCH4IV_2005-11-28.fsa	625.48	3540	35477	9983	
"B,2"	1_2_238_BsuRI_2005-11-28.fsa	132.26	2164	25793	3801	
"B,3"	1_2_238_BsuRI_2005-11-28.fsa	215.28	129	1348	4862	
"B,4"	1_2_238_BsuRI_2005-11-28.fsa	232.95	7934	106987	5084	
"B,5"	1_2_238_BsuRI_2005-11-28.fsa	283.65	221	1607	5711	
"B,4"	1_2_238_HpyCH4IV_2005-11-28.fsa	226.68	144	922	4981	
"B,5"	1_2_238_HpyCH4IV_2005-11-28.fsa	259.68	431	5127	5393	
"B,6"	1_2_238_HpyCH4IV_2005-11-28.fsa	589.85	1267	26454	9076	
"B,7"	1_2_238_HpyCH4IV_2005-11-28.fsa	591.07	1108	5483	9088	
"B,8"	1_2_238_HpyCH4IV_2005-11-28.fsa	592.58	1366	42261	9103	
"B,9"	1_2_238_HpyCH4IV_2005-11-28.fsa	624.65	9129	237954	9417	
"B,10"	1_2_238_HpyCH4IV_2005-11-28.fsa	738.98	2236	47538	10449	
"Y,2"	1_2_238_BsuRI_2005-11-28.fsa	150.85	457	4383	4047	
"Y,3"	1_2_238_BsuRI_2005-11-28.fsa	152.1	636	6760	4063	
"Y,4"	1_2_238_BsuRI_2005-11-28.fsa	202.61	5399	52822	4702	
"Y,5"	1_2_238_BsuRI_2005-11-28.fsa	233.19	1003	2730	5087	
"Y,6"	1_2_238_BsuRI_2005-11-28.fsa	445.49	247	2847	7587	
"Y,2"	1_2_238_HpyCH4IV_2005-11-28.fsa	98.08	51	311	3322	
"Y,3"	1_2_238_HpyCH4IV_2005-11-28.fsa	105.9	7622	42757	3427	
"Y,4"	1_2_238_HpyCH4IV_2005-11-28.fsa	106.27	7700	49940	3432	
"Y,5"	1_2_238_HpyCH4IV_2005-11-28.fsa	590.05	681	15972	9078	
"Y,6"	1_2_238_HpyCH4IV_2005-11-28.fsa	592.58	759	17666	9103	
"Y,7"	1_2_238_HpyCH4IV_2005-11-28.fsa	624.65	3706	37163	9417	
"Y,8"	1_2_238_HpyCH4IV_2005-11-28.fsa	732.25	967	19531	10391	
"B,3"	1_2_240_BsuRI_2005-09-16.fsa	139.48	224	1424	3775	
"B,4"	1_2_240_BsuRI_2005-09-16.fsa	213.52	96	766	4709	
"B,5"	1_2_240_BsuRI_2005-09-16.fsa	232.14	8319	103297	4942	
"B,1"	1_2_240_HpyCH4IV_2005-11-28.fsa	623.86	7945	153805	9300	
"Y,2"	1_2_240_BsuRI_2005-09-16.fsa	89.7	94	521	3118	
"G,1"	1_2_240_BsuRI_2005-09-16.fsa	203.89	80	627	4588	
"Y,3"	1_2_240_BsuRI_2005-09-16.fsa	204.37	6226	54626	4594	
"G,2"	1_2_240_BsuRI_2005-09-16.fsa	231.98	2215	7153	4940	
"Y,4"	1_2_240_BsuRI_2005-09-16.fsa	232.14	1640	5540	4942	
"G,3"	1_2_240_BsuRI_2005-09-16.fsa	232.38	2228	10084	4945	
"Y,5"	1_2_240_BsuRI_2005-09-16.fsa	447.95	189	1760	7461	
